item,weight
2,3257
避免,309
进入,833
封闭,59
环境,997
四年,68
前,1350
佳木斯市,8
桦南县,5
曾,655
发生,1734
一起,859
惨案,24
一名,421
刚刚,160
17,607
岁,796
年轻,168
女护士,4
路上,219
跌倒,12
急忙,22
上前,33
搀扶,6
送回,5
家中,138
当天,269
下午,388
3,3265
点,720
15,861
分,910
朋友,706
发来,30
微信,823
送,326
阿姨,44
她家,6
—,3065
所有人,97
条,536
充满,158
爱心,132
留言,174
成为,1385
女孩,177
留在,55
人世间,3
最后,838
信息,1545
失踪,71
四处,24
侦查,64
不久,76
捕获,10
邪恶,12
谭某,4
新闻,702
此女,1
讨好,10
丈夫,137
假装,30
街头,59
引诱,22
拐到,1
家里,280
伤害,261
毫无,64
防范,235
其,2221
至,1231
出租屋,10
以,3588
一瓶,15
掺,4
安眠药,2
酸奶,17
迷昏,1
而后,17
姑娘,100
杀害,37
天下,156
雨,72
有个,100
见,417
门口,124
乞丐,18
淋雨,3
于心不忍,3
于是,338
进来,71
歇歇脚,7
感恩戴德,1
地进,2
家,770
换,92
干净,128
衣服,150
吃饱,16
饭,69
之后,978
发现,1445
只有,708
在家,81
威胁,157
一笔,88
生活费,28
讨价还价,9
余地,12
遭受,52
更大,107
破财消灾,1
付,54
一万块,1
钱,723
场合,38
从,3387
开放,374
变成,238
缺少,57
大家,1569
监督,423
很难,119
想象,118
到底,262
做出,267
人前,3
可能,1745
谦谦君子,1
明显,493
弱,43
人强,1
只能,404
予取予求,1
尽量避免,16
空间,423
有时候,103
坏事,18
广为人知,5
故事,356
游客,431
禁猎区,2
组织,1323
护送,8
来到,378
神秘,101
可可西里,3
一只,101
可爱,76
小,1471
藏羚羊,5
好奇,41
探头探脑,2
生灵,5
顿时,33
骚动,4
起来,721
拍照,97
拿出,87
食物,206
饮水,27
喂,35
动物,115
之间,601
一声,71
怒吼,5
响起,17
滚开,2
队长,31
冲过来,5
打,704
不许,10
喂食,11
怒,23
干什么,36
如此,323
粗暴,23
对待,88
爱护,24
这些,1598
又,2118
对,7245
你们,358
造孽,5
喝斥,1
道,513
野生动物,27
太,466
友善,8
它们,155
以为,224
人类,244
一旦,297
盗,8
猎者,1
惨遭,8
猎杀,3
惊呆,25
必须,772
经得起,14
人心,38
复杂,166
看起来,113
贪婪,11
行善,11
考察,127
清楚,202
造成,870
什么样,105
后果,131
4,2513
升米,2
恩,15
斗米,1
仇,6
从前,23
两户,8
人家,144
平时,175
不错,219
其中,1314
一家人,47
能干,11
些,75
富裕,33
多,3274
两家,76
本来,138
恩怨,5
老天爷,9
发怒,3
降下,4
灾祸,4
田中,3
颗粒无收,6
这穷,3
一家,487
收成,11
只好,46
躺,76
富,77
买到,9
很多,1616
粮食,57
穷,32
一升米,1
急,64
非常感激,2
富人,27
真是,141
恩人,1
呀,129
熬过,2
最,1732
艰苦,33
时刻,150
穷人,22
前往,203
感谢,130
说话,129
间,221
谈起,9
明年,72
种子,44
着落,7
慷慨,6
地说,60
吧,947
这里,774
拿,444
一斗,2
千恩万谢,1
米,568
回家,228
兄弟,121
这斗米,1
除了,527
吃,896
以外,115
根本,283
不够,164
地里,20
太过分,4
既然,90
有钱,56
多送,3
一些,1390
一点,439
坏,59
这话,10
传到,22
耳朵,36
生气,48
心想,24
白白,9
不仅,593
仇人,6
一样,743
忌恨,1
真,232
从此,77
成,515
老死不相往来,2
饥寒交迫,1
一碗,37
解决,754
大,3153
问题,3053
他会,24
感恩不尽,1
继续,735
觉得,699
理所当然,15
两碗,3
三碗,2
四碗,1
沧海一粟,2
常有,26
第一次,222
提供,1922
心存,17
感激,24
第二次,53
感恩,51
心理,208
淡化,10
n,10668
次,347
以后,420
简直,89
理直气壮,4
这种,1126
施助者,1
怨恨,9
有度,5
不思进取,5
一味,26
索取,26
及时,737
愿意,278
世间,19
满是,3
之,1353
教育,1218
利己主义,6
者,509
险恶,3
有些,470
选择,991
自保,6
无可厚非,7
来说,567
判断,207
真假,24
底线,52
先,415
才能,484
考虑,336
以及,1366
其他,1365
成功,635
每时每刻,3
注重,162
优质,287
分享,419
亲子,58
文章,427
也许,140
简单,389
动作,105
数亿,4
更加,605
健康,710
快乐,138
成长,236
-,8282
end,42
下面,228
内容,1088
喜欢,487
↓,234
公众,449
号,1547
回复,382
爱娃,1
即可,259
育儿,13
福利,101
公益,154
课堂,75
问题解答,3
儿童,291
能力,1027
测评,28
干货,23
精选,65
如,836
如何,912
夸,18
培养,250
阅读,432
过渡,26
幼儿园,169
记,79
犹太人,8
家教,6
经验,430
vs,23
科学,338
家庭教育,21
出,1053
万千,13
推荐,467
进行,3414
早教,12
合适,101
课程,141
精品课程,2
最牛,7
卓越,64
七田,1
首家,23
效果,412
衡量,30
机构,1048
深圳,405
东莞,91
十多家,3
分校,18
近百家,6
师资,21
培训,691
专注,70
0,281
9,1232
学习,1001
潜能,23
性格,80
方案,517
您,1129
专家,506
邀,11
需要,1835
点击,388
原文,129
免费,381
获取,173
价值,564
480,9
元,1618
生理,16
发育,31
年内,132
约,653
10,2030
起,758
锂电,12
重组,84
失败,126
资本,357
高,1250
估值,106
收购,196
摘要,52
电池,117
联盟,237
数据,1156
显示,682
今年以来,64
国内,655
动力电池,23
产业链,127
投资额,11
接近,154
千亿元,9
相关,1786
兼,128
并购,32
案例,426
31,187
大部分,205
投资,1861
集中,443
四大,109
材料,557
(,6419
正极,13
负极,12
隔膜,5
电解液,2
),6531
设备,800
锂,5
矿,36
资源,563
争夺,29
少数,64
整车,80
企业,2889
回收,224
横向联合,2
储能,6
市场,1993
尝试,132
　,11993
《,4968
每日,153
经济,1347
》,4952
记者,1588
注意,608
宣告,84
左右,495
原因,758
多数,94
均,705
提到,275
交易价格,12
未,746
达成,114
共识,59
是否,647
意味着,202
高烧,13
退,78
热潮,46
正在,764
渐渐,52
降温,64
整个,464
行业,1243
整合,180
期,193
后面,147
概率,74
长期,396
观察,190
研究,767
分析,621
人士,213
吴辉,5
向,1963
说道,218
谈钱,1
伤,65
追溯,37
产业,1063
或许,149
2014,313
年,8430
下半年,55
说起,59
政策,886
密集,77
助推,53
新能源,113
汽车,764
井喷式,3
发展,3661
核心部件,2
自然,439
各家,29
必争之地,1
吸引,287
不少,626
跨界,45
领域,763
神话,27
不断,837
刷新,43
概念股,14
一轮,50
暴涨,26
月,7356
日,5006
晚间,46
长安汽车,7
000625,1
sz,4
发布公告,26
拟,143
招商,115
财富,137
签订,175
有限,140
合伙,42
份额,70
转让,166
合同,456
以约,3
5.19,3
亿元,1098
持有,183
镇江,67
德茂海润,2
基金,1132
4.9,4
实缴,8
完成,992
间接,51
持股,47
宁德,59
时代,927
0.3855%,1
股权,222
此前,218
6,1923
月份,307
出资,92
参股,31
仅,477
获,144
1.18%,3
彼时,10
840,5
消息,518
引发,350
热议,55
当前,310
狼多肉少,1
收购价格,4
越来越,474
程度,402
加剧,37
恐慌,33
真锂,1
首席,91
分析师,74
墨柯,1
坦言,33
基于,174
雪莱,5
特,85
002076,1
上演,58
一出,34
标的,45
变,166
剧情,56
今年,1075
停牌,18
筹划,12
购买,462
主营,47
业务,1287
斯诺,4
100%,103
但,3258
特在,2
7,1504
8,1413
发布,986
临时,163
公告,312
卓誉,1
自动化,120
由此,98
称因,2
公司,4251
主要,1549
股东,227
核心,396
方面,1198
未能,95
一致意见,3
故,84
决定,910
终止,72
余天,3
14,672
披露,141
计划,808
此次,435
尘埃落定,3
金冠,3
电气,161
300510,1
类似,247
5,3167
16,548
鸿图,2
中锂,2
新材,6
进军,20
一个多月,25
协议,430
双方,400
反复,105
磋商,34
谈判,77
一致,191
的确,71
很少,116
之前,602
接触,177
资方,5
谈,136
因而,39
以上,1443
一来,16
希望,871
尽可能,47
资产,541
纳入,167
上市公司,115
麾下,4
二来,6
增加,643
谈成,1
不过,665
而言,210
方,255
协调,220
地方,1072
太多,43
难度很大,2
加上,217
目前,1615
上面,189
对方,528
忍痛割爱,4
董秘,1
梳理,84
价格,819
谈拢,2
导致,796
占,624
一半,99
风险,813
陡增,1
热衷,20
逐渐,246
暴露出,7
盲目性,2
其实,716
去年,484
投资方,20
做定,1
增,26
ipo,41
开始,1352
辅导,65
过来,165
聊,29
过程,903
能源行业,5
特别,936
了解,1079
天劲,1
股份,533
831437,1
oc,2
cto,5
王强,1
论坛,172
表示,1433
值得注意,39
自,759
2015,612
以来,570
大举,8
布局,261
尝到,12
甜头,9
有人,539
欢喜,12
忧,9
至少,272
业绩,265
赌,17
包括,940
融达,1
锂业,2
美拜,1
电子,289
苏州,228
捷力,1
以前,265
明朗,9
得,1129
较,716
越发,10
稀少,13
补贴,268
退坡,1
洗牌,11
政府,946
有意,26
鼓励,225
大浪淘沙,1
谨慎,63
谈不成,1
汽车行业,15
资深,51
如今,304
机会,449
更,2845
看好,65
及其,277
细分,26
零部件,48
比如,502
电机,75
dc,11
模块电源,1
骗补,2
爆发,107
国家,2019
陆续,116
出台,223
企业目录,1
目录,34
重审,2
调整,490
国标,9
强检,2
万公里,19
行驶,256
里程,44
多个,311
意在,12
规范,512
波动,68
未来,782
不可避免,21
上市,273
信心,127
投资人,76
关注,1023
迈,4
哲华,1
上海,816
合伙人,73
郭凯,2
看来,159
两年,191
中央政府,6
积极,621
推进,1164
主导,85
项目,2543
意识,392
低端,15
产能,100
过剩,17
不再,223
支撑,261
回归,116
此外,370
指出,453
关于,917
结构性,45
提及,51
前期,100
投,92
销售,733
预期,182
回报,69
堪忧,4
技术,1472
更高,42
尽调,1
仔细,72
总体而言,5
经过,610
几年,194
过热,14
电动汽车,7
需求,655
相当,149
长,450
周期,113
存在,900
期长,1
因此,777
趋于,20
理性,79
化学,49
物理,62
电源,182
行业协会,28
秘书长,82
刘彦龙,1
热度,24
号称,29
达,499
资金,864
只是,663
预算,60
实际上,155
有没有,203
能否,108
落实,601
待,109
考证,15
至于,110
后续,84
多少,539
能够,878
释放出来,9
不确定性,33
因素,265
酝酿,23
设立,359
80,215
亿瓦时,1
门槛,70
虽未,6
拍板,3
淘汰,63
落后,97
意图,33
原,668
标题,397
责任编辑,285
df318,1
马蓉,7
现身,54
打扮,21
似,22
少女,46
热聊,3
一旁,24
被忽视,11
令,126
众人,45
气愤,16
导读,25
王宝强,16
离婚案,5
沸沸扬扬,8
前妻,14
于,2018
年底,220
宣判,60
财产,205
转移,195
宋喆,2
职务侵占,2
案件,650
进一步,861
审理,141
经历,331
出轨,42
崩塌,6
强烈,134
指责,55
..,244
似乎,185
依然,265
出行,297
开着,19
豪车,21
穿衣,14
更是,325
时尚,153
多次,271
拍,207
机场,321
衣装,2
光鲜,6
看上去,27
心情,111
紧急通知,11
看微信,2
轻易,90
透露,228
这串,2
数字,273
家里人,16
陌生人,35
通过,2345
交易,517
发位,1
付款,124
码,68
当心,12
极,64
盯上,19
日前,202
厦门市,38
反,116
诈骗,452
中心,1488
紧急,141
提醒,431
前天,25
内,1522
有名,19
市民,610
因向,1
位,258
钱袋子,12
失守,4
外泄,6
骗,154
数千元,2
近日,498
张,428
先生,369
一款,106
手机软件,5
便,472
网上,466
搜索,152
搜到,3
微,222
信号,385
添加,131
多想,4
直接,834
发红包,8
解释,248
红包,70
转账,85
个人账户,7
没法,29
入,66
账户,164
钱包,58
页面,81
条形码,13
支付,518
一想,8
方便,359
按,643
将位,2
码报,1
谎称,20
退款,28
重复,74
一会儿,45
收到,282
随即,63
语音,111
抱歉,8
小心,113
弄错,1
渠道,221
退还给,2
圈套,8
发现自己,44
刷,138
走,835
这时,107
退钱,4
拉黑,6
守好,3
码守,1
民警,516
功能,702
二维码,224
数字编码,2
三个,416
像,662
商店,41
扫,43
利用,634
骗走,8
受害人,68
码后,2
环节,176
点开,15
微信收,1
界面,48
跳出,11
以下,766
日常,205
工作,4580
做到,400
扫描,91
不明,50
链接,130
码中,1
保存,98
出门,95
不带,23
现金,212
普遍,164
手机,1274
扫一扫,8
熟练,27
小心谨慎,6
来源,563
楚天,6
都市报,26
李金磊,1
王佳昕,1
晚报,79
君,43
袁立手,1
撕,21
演员,124
诞生,78
节目组,9
走后门,2
反帅,1
锅,28
导演,125
?,9597
今天,767
娱乐圈,47
好戏,6
知名演员,1
袁立,18
微博晒,10
九宫格,2
控诉,8
各种,658
黑幕,12
看得,4
难平,1
自从,63
舞台,76
败给,7
张彤,2
微博,194
戾,3
气,122
暗讽,3
来龙去脉,8
聊天,76
截图,86
微博上,30
看过,52
节目,224
神神,1
叨叨,4
语无伦次,3
张国立,3
套近乎,1
无视,23
导师,64
自言自语,4
搞,192
宋丹丹,3
开口,40
制止,66
行为,1148
章子怡,5
黑脸,6
老戏骨,1
实力派,5
综艺节目,16
样子,113
聒噪,1
烦人,2
一股,71
黑,161
喷,31
情商,17
演技,21
一切,340
出人意料,4
图片,318
看出,82
工作人员,536
力劝,2
袁立来,1
参加,681
不想,158
评价,213
此,385
保证,496
第二轮,8
并且,459
提出,873
签订合同,28
报酬,27
输给,8
杨彤,2
忽悠,28
签合同,5
一分钱,21
举动,48
炸开,4
清流,7
敢于,65
黑暗,33
挑战,162
第一个,156
公之于众,2
明星,168
失望,56
称一,2
早就,76
矛头,5
指向,25
选,92
晋级,28
早上,136
热,178
搜,55
过于,57
撤,8
显眼,11
可见,81
鸣不平,1
忽略,38
一个点,5
聊天记录,45
接受,528
不了,157
而且,811
凭,57
推,77
不差,10
注定,32
要输,2
巨大,260
名气,13
老,390
内定,1
以此,82
条件,877
小编,285
约定,209
错误,204
公开,390
难免会,19
甩锅,2
貌似,11
够低,1
持续,630
这件,133
看法,73
本文,256
作者,383
原创,143
未经,170
授权,171
不得,477
转载,197
上半年,94
统计分析,3
消费者,575
维权,92
商家,273
自律,33
强化,357
<,18
founder,2
content,12
>,442
advertisement,2
code,2
\,12676
新华,44
报业网,2
讯,162
昨天,190
省,452
消协,19
消费,602
投诉,257
总量,84
同比,345
下降,366
全省,360
各级,213
协会,248
19566,2
件,183
使,713
免受,11
经济损失,43
7964,2
余万元,43
网购,37
热点,187
高难度,5
增大,30
据统计,53
江苏省,176
65132,2
总,588
投诉量,9
则,872
35601,2
45.34%,2
一方面,155
由于,817
修订,96
权益保护法,8
加重,46
经营者,76
违法,496
成本,427
自律意识,1
另一方面,128
重视,180
信誉,92
权益,134
努力,478
纠纷,163
内部,308
萌芽,10
倡导,59
搭建,104
通,137
和解,31
平台,1356
拓宽,55
降低,348
产品质量,81
售后服务,30
反映,288
质量,656
差,181
返修率,2
高等,16
移动,611
电话机,4
售后,54
故障,130
责任,842
认定,387
相互,125
推卸责任,5
拖延,24
履行,183
三包,6
义务,222
媒体,739
购物,176
较大,235
比重,62
快递,280
服务,2654
合法权益,90
应,766
统计表,4
单项,31
75.05%,2
15.44%,3
我国,665
呈现,143
增长,747
态势,69
消法,5
无,921
理由,217
退货,26
确认,239
自行,140
规定,1587
商品,294
使用,1446
由,1945
或者,1217
拆封,1
查验,24
完好,22
虽降,1
调解,69
难度,95
几则,1
典型,166
颇具,19
警示,103
意义,247
抽奖,21
储藏室,5
缩水,14
29,212
咋办,11
启东市,10
接到,181
44,51
集体,239
启东,14
某,506
房地产,415
欺诈,44
售房,8
据,947
月初,55
电话,642
形式,390
IFC,1
公寓,44
号楼,31
购房者,42
发出,152
通知,371
凡,86
该楼,1
业主,222
全部,596
交清,1
购房,102
余款,9
举办,340
108,72
赠送,59
活动,2057
用于,278
缩减,18
79,18
中显失,1
公平,122
符合,527
很大,329
抽到,4
106,24
创建,295
微信群,41
组成,228
第一,698
时间,1925
群主,14
取得联系,16
两次,110
约请,3
谈话,61
剩余,66
拍卖,59
所得,85
反馈,113
奖,94
二,776
广告,403
错字,1
虚假,163
宣传,684
沈先生,9
金坛市,8
西门,30
国际,888
商贸城,16
壁纸,16
店,131
当时,592
店家,21
广告牌,15
写,363
整卧,2
贴,168
包,124
人工,94
优惠活动,10
定金,32
1000,289
几天,182
上门,73
纳闷,7
意想不到,14
答复,67
字,291
写错,3
整屋,2
费用,482
遂,73
金坛,8
经,606
同意,162
各自,132
50%,110
人工费,5
三,813
和尚,22
庙堂,2
担责,10
日至,182
20,1060
期间,666
严某,6
自然人,32
工商,80
注册,288
登记,295
500,305
租赁,270
射阳县,10
大酒店,46
场地,100
每天,490
讲解,96
卫生,197
保健知识,3
听课,10
每人,60
免费发,4
赠品,4
十多天,3
保健产品,2
满意,144
然后,525
托儿,2
故意,147
次日,52
现场,997
这天,30
一下子,51
48,73
套,124
产品,1568
含,183
每套,7
收取,132
2650,3
21,514
再也,97
不上,11
射阳,8
首先,370
其称,1
安徽,144
前来,105
拒接,1
见此,6
依据,264
第四十三条,7
列为,38
上述,241
实际,549
参考价,2
2020,162
敦促,21
酒店,268
赔偿,325
30,1047
名,724
所购,10
差价,12
共计,123
18715,2
到位,198
本报记者,20
杭春燕,1
/,4001
大头,10
公布,384
具有,950
三大,135
类,438
通讯,139
类产品,15
99.23%,1
呈,93
趋势,177
之一,489
；,3689
之二,7
之三,3
选登,1
A,3
错别字,2
【,1386
点评,114
】,1388
双方同意,3
现如今,19
不实,18
诚信,142
观念,97
缺失,32
有苦,2
说不出,12
应多加,1
广告宣传,2
B,3
庙,37
二楼,45
且,560
第,878
43,56
马燕,1
稿源,2
光明网,5
巴黎,47
拟建,6
三角形,9
摩天大楼,15
浪漫,84
毁,28
林荫大道,1
公共,218
花园,147
环绕着,3
阳台,37
低层,21
住宅,126
独具,13
１,87
９,15
世纪,197
奥斯曼,3
式,303
城市,1519
风格,128
元素,103
法国,125
首都,67
列入,88
联合国教科文组织,3
世界遗产,5
名录,28
保持,418
风貌,20
多年,335
实施,1036
建筑,445
限高,6
４,28
０,111
不曾,14
新建,186
高楼,25
一座,127
最近,415
获得,680
批准,409
崛起,73
这座,105
西南部,30
当地人,24
担心,216
覆盖,281
玻璃,112
庞然大物,2
古老,35
氛围,156
开发者,34
渲染,18
隐形,31
名为,78
三角,29
大厦,111
高约,7
８,51
预计,369
耗资,10
５,39
亿美元,226
瑞士,33
知名,155
建筑设计,17
设计,783
北京,1080
２,53
奥运会,32
主,166
体育场,19
鸟巢,4
赫尔佐格,1
－,146
德默龙,1
所,1382
欧洲,152
最大,714
开发商,108
尤尼百,1
洛当科,1
建成,381
首座,10
７,37
３,27
蒙,35
帕尔纳斯,1
招致,19
非议,11
批,73
视野,65
破坏,141
市容,29
巴黎市政府,2
民众,143
颁布,36
法令,12
市内,27
楼房,22
高度,243
须,97
限制,231
６,36
尽管,201
这一,369
取消,299
建造,96
质疑,120
消除,147
顾虑,20
设计者,4
极力,10
试图,64
介绍,818
外立面,10
为主,307
整座,3
楼,156
通透,9
不到,369
它,1167
大楼,39
占地面积,55
不大而,1
容量,56
节省,35
大约,131
平方米,152
宽,223
窄,15
周边,216
采光,9
官方网站,35
展示,288
效果图,24
天空,69
周边环境,10
融为一体,11
美国,1289
大西洋,14
集团,1051
下属,43
城市规划,17
网站,377
实验室,242
解读,136
描绘成,3
发光,8
水晶,19
非,410
赫然,9
耸立,6
支持者,12
强调,328
商机,20
美国有线电视新闻网,4
报道,716
年前,122
市政厅,3
投票,77
否决,9
市长,143
安妮,3
·,1124
伊达尔戈,3
强力,37
推动,721
惊险,13
过关,15
万平方米,78
办公,119
包含,173
高档,26
住宿,54
休闲,183
设施,403
带来,618
大量,427
副,726
路易,20
西卡,1
世界报,1
采访,218
时说,17
创造,293
永久,27
就业,323
岗位,292
放弃,197
一场,291
灾难,42
对外,99
投资者,339
建筑师,18
标志,166
地产,168
米兰达,1
博特,1
官员,133
支持,817
市政府,117
新思路,7
建设项目,128
活力,123
建筑业,18
就业机会,13
用途,62
相,138
融合,245
聚合,26
各行各业,18
定于,13
开工,163
除,186
外,485
当地,545
另有,41
多座,8
建设,2698
大规模,108
试验,135
一项,157
民意调查,3
％,54
原则上,53
反对,93
市区,108
12,1317
一页,29
业内,47
恒,18
大学,394
万达,94
文化产业,43
岂止,2
亏损,126
王健林,13
之外,167
打造,647
帝国,48
许家,116
印,133
	,294
恒大,99
旗下,159
拆分,18
送往,46
三板,15
招股书,14
文化,1367
揭开,32
面纱,6
然而,322
娱乐,228
资本论,11
意外,147
这家,104
涵盖,72
音乐,208
大院,29
线,290
影视,142
经纪,191
发行,255
动漫,70
板块,155
盈利,215
全年,121
营收,58
1100,34
多亿元,10
内地,78
上映,26
所有,892
电影,281
票房,50
加,187
296,4
亿,343
季度,45
销售额,71
而已,79
财大气粗,1
不难,30
现实,232
影视圈,5
有着,224
院线,15
从而,282
重点,903
效法,2
影院,51
数量,332
22,412
主打,23
难以获得,2
广场,245
综合体,80
专业人才,16
两位,75
掌门人,4
宋柯,6
高晓松,7
近期,301
传出,32
即将,206
阿里,110
而恒大,1
各个,164
人才,481
专业,1004
度,213
最高,495
高管,55
各个部门,6
创意,92
管理,1967
开发,495
截然不同,21
出身,33
水乳交融,1
音乐节,35
成恒大,1
收入,566
支柱,9
最为,114
成熟,133
每年,344
源源不断,19
贡献,211
利润,174
唱片,14
已死,2
当下,80
成绩,200
实属,9
不易,43
2012,139
印力,1
加盟,51
最初,63
分工,54
之下,102
经济基础,9
版权,257
演出,107
品牌,716
推广,244
主管,103
意识形态,14
把关,18
共有,134
;,5996
运营,395
这两块,1
重要,1237
性,355
商务,100
拓展,177
例如,172
央视,111
合作,881
直通,15
春晚,69
先看,8
这是,733
主营业务,23
仍,497
处在,60
酱油,16
阶段,319
星光,28
共,412
26,283
场,172
4491,1
万元,1018
33.51%,1
草莓,46
迷笛,1
不同,891
三四,33
背景,196
常常,119
各地,344
分公司,223
人力物力,7
等方,1
足球,118
恒大冰泉,1
经销商,79
即便,114
毛利率,18
6.75%,2
难,259
通病,7
慢慢,167
走向,134
井喷,14
业内人士,67
抓住,125
机遇,94
提高,898
票价,39
为此,130
邀请,197
乐坛,4
顶级,38
艺人,185
天数,14
两天,101
锁定,55
广州,433
长沙,131
武汉,211
西安,404
南京,586
良好,466
库,46
稳定,448
收益,234
第二块,1
现有,157
库曲,1
库量,1
2.2,22
万首,1
保有量,6
位居,34
同业,40
董事,186
总经理,270
尤其,363
日益,60
受到重视,2
这块,52
2013,214
分别,609
29.73%,1
46.42%,1
26.8%,1
流行,77
摇滚,5
民乐,6
戏曲,11
古典,17
宗教,24
功能性,3
