item,weight
问责,47
领导,512
(,1973
上,3494
黄镇,3
党委书记,81
张涛,3
，,133614
宣国,12
才,994
真能,5
一手遮天,7
吗,687
？,2365
),1970
这,2530
几天,155
看,807
了,19790
有人,543
举报,410
施,13
某某,1249
的,64066
贴子,8
经,1119
与,2978
举报人,186
联系,700
证实,250
是,11593
宣某,1
当天,398
中午,140
请,825
和,7408
枪手,16
喝酒,174
后,5074
晚上,349
发,141
！,3537
 ,25879
本人,271
不去,24
讨论,78
前,899
二天,2
相信,201
总归,8
会,2074
有,6139
说法,135
今天,333
一,2008
看施,1
全军,2
2017,983
年,6073
1,2155
月,7093
2,2283
日,4996
实名,71
（,3059
仍,475
被,7151
锁定,110
禁止,183
评论,185
）,3067
已经,1683
正好,60
整年,2
=,2528
750,19
window,10
.,1355
open,5
',3878
http,58
:,4864
/,2930
img,8
jsly001,8
com,163
attachment,8
mon,8
_,648
1801,8
4,1721
291085,12
c796a6a86e17121,2
jpg,58
?,2909
123,11
;,3095
"""",1798
onload,4
if,5
this,9
offsetwidth,4
>,3962
width,10
src,25
style,498
max,6
-,4544
750px,4
图片,311
home,10
alidata,4
www,79
data,17
tmp,5
qfupload,4
1514981471478952,1
50,333
天后,39
党委政府,5
回复,292
如下,163
图,172
：,6139
a9b11b7ea2b1ce9,2
90,74
1514981472631668,1
9cde9b3943fe20c,2
75,15
1514981472353075,1
一年,426
再次,360
网友,793
顶,24
起来,358
发现,2172
施某,9
处理结果,17
竟,198
9d32ee572760d85,2
131,10
1514981473547172,1
现,135
责问,1
书记,282
、,20263
这么,461
多,1803
问题,1833
什么,1011
时候,1015
答复,82
。,49333
为什么,292
立刻,78
免,12
村,402
职务,340
又,1770
安排,261
到,3673
城管,136
队,96
“,11419
吃,491
空响,1
”,11359
自己,3469
却,1226
天天,52
在,17544
我们,2520
水泥厂,4
上班,124
赚,97
黑钱,3
3,1948
几个,235
水泥,40
每吨,19
近,286
200,283
元,2430
纯利润,2
还,2962
供不应求,5
还清,23
黄,196
政府,487
担保,94
借给,26
代付,1
振,2
东厂,1
工资,168
社保,48
钱,1041
据,1122
了解,813
占,188
他人,602
企业,770
经营,406
欠税,1
52.16,1
万元,1555
欠,60
32.76,1
应该,586
职工工资,1
几十万,18
打算,73
替,64
还是,843
归还,63
5,1970
厂,60
合法,189
会计,41
老板,265
判刑,88
四到,1
六年,25
现在,823
服刑,24
厂子,4
给,2558
强占,13
每天,264
20,914
多万,61
净利润,25
对外,68
宣称,35
亏本,3
等,4024
咱,19
刑满,5
回厂,2
咱厂,1
亏,13
可能,985
要,2651
几千万元,1
甚至,500
亿,99
您,282
承担,641
当初,60
可是,293
亲自,39
把,1731
交给,111
生产,420
希望,582
徐,89
市长,83
看到,897
本贴,1
能,1177
像,292
批示,20
263,8
违建,35
民生问题,5
一样,291
关注,588
一下,424
将来,12
也,5936
抽,38
日理万机,1
之空,1
约,364
谈,83
当事人,336
特别,455
那位,17
站长,16
千万,114
不能,956
听取,22
一面之辞,1
绝味,15
鸭,22
脖,11
广告,283
开,275
黄腔,2
引,26
众怒,2
双,25
11,1217
拼值,1
1600,20
销售额,15
让,2153
中国,1330
